Country,average,user_count
Paraguay,8.43,11
Russia,7.99,14
Sweden,7.67,1240
Philippines,8.61,1966
Jersey,7.88,15
South Georgia And The South Sandwich Islands,10.0,1
Tonga,7.19,1
Singapore,8.13,703
Malaysia,8.28,595
Fiji,7.84,4
Turkey,7.97,4
Western Sahara,7.95,2
Iraq,7.96,21
"Venezuela, Bolivarian Republic of",8.38,26
Germany,7.83,2188
Maldives,7.99,12
Jordan,7.85,25
Sudan,8.03,18
France,7.56,1402
Greece,7.88,267
Holy See (Vatican City State),8.09,114
Sri Lanka,7.86,10
Montserrat,8.27,34
Algeria,7.93,20
Slovakia,8.05,205
Macau,8.18,51
Argentina,8.02,412
Belgium,7.83,491
Angola,8.41,5
Qatar,8.08,42
Ecuador,7.93,19
Madagascar,8.36,27
Albania,8.19,38
Finland,7.74,1040
Türkiye,8.04,307
New Caledonia,7.97,113
Ghana,8.0,3
Myanmar,8.08,8
Nicaragua,8.26,9
Brunei Darussalam,8.43,12
Guernsey,8.44,7
Peru,8.08,136
Sierra Leone,9.15,2
United States,8.08,17049
India,8.17,262
Bahamas,8.32,59
China,8.09,73
Belarus,7.88,130
Kuwait,8.16,102
Malta,8.27,45
Somalia,7.77,2
Chile,7.9,290
Puerto Rico,8.28,145
Martinique,6.95,1
Cayman Islands,8.12,47
Croatia,8.14,233
Nigeria,7.49,15
Gabon,8.0,132
Italy,7.8,1137
Suriname,8.45,7
Lithuania,8.2,503
Norway,7.96,898
Spain,7.71,742
Cuba,7.72,4
Mauritania,7.65,1
Czechia,8.47,29
Denmark,7.81,438
Niger,8.0,22
Bangladesh,7.9,63
Russian Federation,7.73,152
Ireland,8.06,308
Laos,8.38,65
Thailand,8.17,137
Morocco,7.93,227
Monaco,8.33,1
UNKNOWN,8.19,201391
Panama,8.06,312
Hong Kong,8.19,72
Ukraine,7.92,522
Israel,7.98,663
Iceland,7.81,52
Antarctica,7.84,31
Oman,8.01,9
Cyprus,8.03,17
"Palestine, State of",7.99,5
Uruguay,7.78,52
Mexico,8.11,505
Aruba,7.97,6
Georgia,8.12,463
Estonia,7.96,231
Montenegro,8.03,21
Zimbabwe,7.67,7
Indonesia,8.27,695
Saint Vincent and the Grenadines,8.36,4
Mongolia,7.8,89
Guatemala,8.11,39
Guam,8.43,16
Azerbaijan,8.04,118
Libya,8.2,11
Armenia,7.63,5
Liberia,8.12,257
Tunisia,8.06,123
Honduras,8.21,19
Trinidad and Tobago,7.72,21
Saudi Arabia,8.01,208
Switzerland,7.92,113
"Taiwan, Province of China",7.6,23
Pitcairn Islands,9.59,2
Latvia,7.9,241
Jamaica,7.79,163
United Arab Emirates,8.15,102
South Sudan,9.67,1
Saint Lucia,8.35,3
Canada,7.95,3833
Seychelles,8.09,81
Kyrgyzstan,7.3,5
Uzbekistan,7.68,9
North Macedonia,8.8,5
Mozambique,7.72,3
Czech Republic,8.22,9
Brazil,8.19,2986
Belize,7.75,19
Kenya,8.27,8
Lebanon,7.92,25
"Bolivia, Plurinational State of",8.31,8
Slovenia,7.93,80
Antigua and Barbuda,7.97,9
Dominican Republic,8.15,77
Viet Nam,7.85,22
Japan,8.12,917
Botswana,8.39,21
Luxembourg,7.82,19
New Zealand,7.89,367
Bosnia and Herzegovina,7.93,27
Poland,7.79,3963
Portugal,7.89,1079
Australia,7.92,1673
"Moldova, Republic of",8.04,75
Cameroon,7.89,8
Romania,8.37,551
Bulgaria,8.33,522
Austria,7.87,210
Nepal,8.71,7
Egypt,8.12,82
Costa Rica,8.19,48
El Salvador,8.26,31
Kazakhstan,7.91,80
Serbia,8.09,237
South Africa,7.79,101
Bermuda,7.79,3
Bahrain,8.14,36
Colombia,8.09,173
Hungary,7.89,617
Pakistan,8.16,44
"Iran, Islamic Republic of",8.33,3
Mauritius,8.45,15
United Kingdom,7.97,3601
Netherlands,7.82,755
Côte d'Ivoire,8.64,1
Yemen,7.98,6
Cambodia,8.82,3
Turks And Caicos Islands,8.45,1
Dominica,7.9,3
Togo,8.97,2
Marshall Islands,7.83,1
Andorra,9.32,2
Barbados,7.82,9
Bhutan,10.0,1
Uganda,8.27,1
Namibia,6.51,5
Brunei,9.25,1
Guinea-Bissau,7.65,2
Vietnam,7.17,1
Senegal,7.03,2
Guyana,7.79,2
Saint Helena,7.72,1
Reunion,7.45,1
Sao Tome And Principe,8.2,1
Congo,8.79,1
Christmas Island,7.71,1
Nauru,8.5,1
South Korea,6.22,1
Grenada,8.06,1
Cook Islands,7.88,1
Greenland,7.9,2
Papua New Guinea,7.8,2
Solomon Islands,7.19,1
Burkina Faso,7.5,3
Niue,6.87,1
Cabo Verde,8.63,2
Afghanistan,8.15,2
San Marino,10.0,1
Lesotho,9.12,1
Isle of Man,8.55,1
Turkmenistan,7.37,1
Liechtenstein,9.08,1
Faroe Islands,7.6,2
Samoa,7.48,1
Haiti,8.62,1
