Country,user_count
UNKNOWN,632521
United States,27765
Poland,6078
Canada,5807
United Kingdom,5543
Brazil,4139
Philippines,3937
Germany,3313
Australia,2497
France,2063
Sweden,1851
Italy,1819
Japan,1635
Portugal,1615
Finland,1568
Norway,1274
Indonesia,1251
Singapore,1158
Netherlands,1119
Malaysia,1107
Spain,1052
Hungary,1010
Israel,965
Bulgaria,893
Ukraine,876
Romania,874
Mexico,765
Lithuania,757
Georgia,749
Belgium,701
Denmark,647
Argentina,612
New Zealand,545
India,484
Panama,473
Türkiye,469
Ireland,457
Liberia,444
Chile,441
Greece,387
Serbia,359
Estonia,357
Morocco,353
Latvia,350
Croatia,332
Austria,331
Saudi Arabia,304
Slovakia,280
Colombia,273
Jamaica,272
Thailand,224
Puerto Rico,223
Russian Federation,222
Gabon,215
Peru,209
New Caledonia,203
Tunisia,201
Azerbaijan,190
Holy See (Vatican City State),189
Switzerland,181
Belarus,178
South Africa,175
Kuwait,164
United Arab Emirates,160
China,134
Mongolia,129
Seychelles,129
Dominican Republic,128
Kazakhstan,127
Slovenia,120
Hong Kong,119
"Moldova, Republic of",117
Egypt,114
Laos,112
Bahamas,101
Bangladesh,89
Uruguay,85
Costa Rica,84
Cayman Islands,83
Macau,79
Malta,72
Iceland,70
Guatemala,69
Pakistan,66
Albania,63
Qatar,61
Bahrain,58
Montserrat,49
El Salvador,48
Czechia,45
Bosnia and Herzegovina,45
Ecuador,40
Antarctica,40
Madagascar,38
"Venezuela, Bolivarian Republic of",37
Jordan,37
Trinidad and Tobago,37
Lebanon,37
Sudan,36
"Taiwan, Province of China",35
Niger,34
Viet Nam,32
Iraq,31
Luxembourg,31
Montenegro,30
Honduras,30
Belize,30
Botswana,30
Algeria,29
Cyprus,29
Maldives,26
Guam,25
Mauritius,25
Russia,24
Jersey,24
Nigeria,24
Sri Lanka,20
Brunei Darussalam,19
Paraguay,18
Nicaragua,17
Kenya,17
Myanmar,16
Libya,16
Antigua and Barbuda,16
Oman,15
Barbados,14
Uzbekistan,14
Cameroon,13
Nepal,13
Senegal,12
"Palestine, State of",12
Cambodia,11
Guernsey,11
Zimbabwe,11
Czech Republic,10
"Bolivia, Plurinational State of",10
Yemen,9
Saint Vincent and the Grenadines,9
Armenia,9
Suriname,8
Aruba,8
Namibia,7
Fiji,6
North Macedonia,6
Kyrgyzstan,6
Bermuda,6
Angola,5
Burkina Faso,5
Côte d'Ivoire,4
Turkey,4
Dominica,4
Ghana,4
Cuba,4
Monaco,4
Saint Lucia,4
Faroe Islands,4
Cabo Verde,4
Andorra,4
Western Sahara,3
Saint Helena,3
Togo,3
Sao Tome And Principe,3
Grenada,3
Mozambique,3
Greenland,3
Haiti,3
Afghanistan,3
Bhutan,3
"Iran, Islamic Republic of",3
Tonga,2
Marshall Islands,2
Somalia,2
Isle of Man,2
Papua New Guinea,2
Niue,2
Guyana,2
Sierra Leone,2
Christmas Island,2
Uganda,2
Pitcairn Islands,2
Samoa,2
Cook Islands,2
Guinea-Bissau,2
Tajikistan,1
Turkmenistan,1
Mauritania,1
Congo,1
Nauru,1
South Korea,1
Gibraltar,1
South Sudan,1
US Virgin Islands,1
Bouvet Island,1
Vanuatu,1
Vietnam,1
"Tanzania, United Republic of",1
South Georgia And The South Sandwich Islands,1
Lesotho,1
American Samoa,1
Martinique,1
Liechtenstein,1
Brunei,1
Solomon Islands,1
Turks And Caicos Islands,1
Guadeloupe,1
Reunion,1
San Marino,1
Central African Republic,1
Zambia,1
"Korea, Republic of",1
