genre,female_count,male_count,female_percentage,male_percentage
Seinen,755783,2401731,23.94,76.06
Romance,3058903,7422955,29.18,70.82
Dementia,123962,290713,29.89,70.11
Magic,1044607,2571788,28.89,71.11
Thriller,351992,903155,28.04,71.96
Josei,223277,253220,46.86,53.14
Adventure,1970463,5195149,27.5,72.5
Super Power,810990,2386774,25.36,74.64
Martial Arts,242263,845883,22.26,77.74
Sports,355357,847317,29.55,70.45
Shoujo,1115893,965196,53.62,46.38
Drama,3102596,6713252,31.61,68.39
Shoujo Ai,109238,259122,29.66,70.34
School,2163059,6205281,25.85,74.15
Hentai,104776,553206,15.92,84.08
Military,482712,1623363,22.92,77.08
Samurai,169147,434005,28.04,71.96
6455,47,320,12.81,87.19
Yaoi,86665,18342,82.53,17.47
Fantasy,2477082,6232419,28.44,71.56
Shounen Ai,196276,48323,80.24,19.76
Demons,489562,1010298,32.64,67.36
Police,191214,498321,27.73,72.27
Vampire,308891,679943,31.24,68.76
Mecha,509201,1906338,21.08,78.92
Mystery,1296954,2914203,30.8,69.2
Supernatural,2408702,5899197,28.99,71.01
1080,2172,5519,28.24,71.76
Music,383682,716207,34.88,65.12
Shounen,2134648,5862779,26.69,73.31
Slice of Life,1585381,3883658,28.99,71.01
Game,221033,737367,23.06,76.94
Ecchi,698084,3445785,16.85,83.15
Kids,176866,350560,33.53,66.47
Space,174958,704505,19.89,80.11
Cars,12848,79235,13.95,86.05
Harem,565813,2348115,19.42,80.58
Psychological,734133,1799698,28.97,71.03
Horror,548625,1294767,29.76,70.24
Yuri,9792,31274,23.84,76.16
Comedy,4671909,12438198,27.3,72.7
Action,3482950,10506464,24.9,75.1
Historical,692080,1286460,34.98,65.02
Parody,370977,1019751,26.68,73.32
Sci-Fi,1658090,5428070,23.4,76.6
