ZodiacSign,MonthPublished,Count
Unknown,11,430
Virgo,,42
Scorpio,4,53
Aries,4,37
Unknown,6,438
Aries,11,20
Taurus,12,38
Libra,9,24
Aquarius,4,64
Sagittarius,11,17
Capricorn,5,9
Leo,9,19
Virgo,6,19
Libra,3,39
Capricorn,11,28
Aries,10,56
Aquarius,2,25
Libra,2,19
Leo,11,14
Scorpio,2,21
Libra,5,19
Capricorn,10,44
Unknown,7,974
Aquarius,3,21
Gemini,12,28
Scorpio,12,25
Virgo,7,54
Aries,9,24
Libra,8,28
Cancer,6,27
Libra,4,54
Scorpio,3,25
Virgo,5,17
Aquarius,9,17
Taurus,11,25
Gemini,2,28
Aquarius,5,22
Capricorn,6,23
Pisces,,36
Aries,3,29
Scorpio,8,16
Libra,6,22
Unknown,9,470
Sagittarius,1,37
Gemini,10,56
Sagittarius,5,15
Cancer,8,33
Taurus,,26
Aries,2,18
Scorpio,1,31
Unknown,5,362
Unknown,3,717
Taurus,3,30
Virgo,2,16
Scorpio,10,38
Aries,5,16
Scorpio,5,22
Cancer,10,55
Taurus,1,47
Taurus,7,47
Virgo,11,27
Leo,10,48
Taurus,6,25
Sagittarius,4,67
Gemini,7,49
Pisces,3,29
Aries,,25
Virgo,4,66
Libra,10,51
Leo,1,38
Taurus,9,15
Virgo,8,22
Leo,8,19
Sagittarius,9,22
Leo,12,28
Cancer,3,41
Unknown,,805
Unknown,4,1165
Aquarius,1,34
Aries,12,28
Virgo,12,35
Leo,3,26
Libra,,37
Aquarius,8,19
Scorpio,9,28
Capricorn,7,51
Libra,12,26
Sagittarius,,35
Cancer,,36
Aries,6,17
Capricorn,,32
Gemini,,36
Gemini,4,46
Sagittarius,6,21
Aquarius,,35
Taurus,10,59
Pisces,12,22
Aquarius,7,39
Pisces,5,16
Aries,8,15
Gemini,1,42
Libra,1,40
Sagittarius,3,28
Pisces,6,16
Cancer,2,16
Gemini,3,39
Gemini,5,15
Aquarius,11,13
Scorpio,6,9
Pisces,11,20
Cancer,7,51
Aries,7,39
Libra,7,44
Gemini,11,18
Capricorn,1,32
Pisces,7,29
Unknown,10,1169
Unknown,8,533
Pisces,1,32
Sagittarius,10,58
Taurus,2,17
Cancer,1,35
Virgo,3,31
Gemini,9,27
Scorpio,11,16
Sagittarius,8,35
Virgo,1,31
Leo,,36
Unknown,1,782
Cancer,5,18
Leo,6,14
Pisces,2,11
Pisces,10,49
Pisces,9,25
Virgo,9,16
Cancer,4,56
Leo,7,49
Unknown,12,647
Aquarius,10,45
Leo,2,12
Cancer,11,19
Capricorn,9,17
Pisces,4,49
Gemini,6,23
Leo,4,55
Aquarius,12,28
Gemini,8,25
Libra,11,19
Leo,5,19
Cancer,9,21
Aquarius,6,20
Sagittarius,2,25
Taurus,8,24
Unknown,2,450
Capricorn,3,29
Pisces,8,24
Scorpio,,32
Scorpio,7,39
Capricorn,8,39
Taurus,4,70
Taurus,5,17
Virgo,10,53
Capricorn,4,65
Cancer,12,29
Aries,1,36
Sagittarius,12,24
Sagittarius,7,39
Capricorn,2,24
Capricorn,12,36
